hour,dow,line,updnLine,congestion
13,SUN,1,1,31.833333333333332
14,SUN,1,1,38.333333333333336
15,SUN,1,1,30.833333333333332
16,SUN,1,1,30.833333333333332
17,SUN,1,1,31.166666666666668
18,SUN,1,1,31.166666666666668
19,SUN,1,1,26.5
20,SUN,1,1,23.833333333333332
21,SUN,1,1,21.666666666666668
22,SUN,1,1,15.0
23,SUN,1,1,8.5
5,MON,4,0,15.333333333333334
6,MON,4,0,19.166666666666668
7,MON,4,0,32.166666666666664
8,MON,4,0,50.666666666666664
9,MON,4,0,25.833333333333332
10,MON,4,0,15.0
11,MON,4,0,16.666666666666668
12,MON,4,0,19.666666666666668
13,MON,4,0,18.833333333333332
14,MON,4,0,22.5
15,MON,4,0,22.666666666666668
16,MON,4,0,26.5
17,MON,4,0,37.833333333333336
18,MON,4,0,46.0
19,MON,4,0,24.666666666666668
20,MON,4,0,16.5
21,MON,4,0,13.5
22,MON,4,0,13.333333333333334
23,MON,4,0,11.833333333333334
5,TUE,4,0,14.0
6,TUE,4,0,18.166666666666668
7,TUE,4,0,31.5
8,TUE,4,0,52.0
9,TUE,4,0,26.5
10,TUE,4,0,23.166666666666668
11,TUE,4,0,17.5
12,TUE,4,0,20.166666666666668
13,TUE,4,0,21.5
14,TUE,4,0,23.0
15,TUE,4,0,22.0
16,TUE,4,0,27.666666666666668
17,TUE,4,0,40.0
18,TUE,4,0,50.166666666666664
19,TUE,4,0,26.0
20,TUE,4,0,17.833333333333332
21,TUE,4,0,16.5
22,TUE,4,0,19.0
23,TUE,4,0,15.166666666666666
5,WED,4,0,15.0
6,WED,4,0,17.333333333333332
7,WED,4,0,30.833333333333332
8,WED,4,0,51.666666666666664
9,WED,4,0,25.833333333333332
10,WED,4,0,20.0
11,WED,4,0,19.666666666666668
12,WED,4,0,20.666666666666668
13,WED,4,0,21.0
14,WED,4,0,24.5
15,WED,4,0,24.333333333333332
16,WED,4,0,29.166666666666668
17,WED,4,0,43.0
18,WED,4,0,47.5
19,WED,4,0,25.666666666666668
20,WED,4,0,17.5
21,WED,4,0,16.666666666666668
22,WED,4,0,19.833333333333332
23,WED,4,0,13.833333333333334
5,THU,4,0,14.333333333333334
6,THU,4,0,15.0
7,THU,4,0,28.166666666666668
8,THU,4,0,46.833333333333336
9,THU,4,0,22.5
10,THU,4,0,19.666666666666668
11,THU,4,0,19.0
12,THU,4,0,19.666666666666668
13,THU,4,0,20.5
14,THU,4,0,23.166666666666668
15,THU,4,0,21.333333333333332
16,THU,4,0,28.666666666666668
17,THU,4,0,36.833333333333336
18,THU,4,0,45.333333333333336
19,THU,4,0,24.0
20,THU,4,0,18.5
21,THU,4,0,15.0
22,THU,4,0,19.5
23,THU,4,0,18.0
5,FRI,4,0,16.333333333333332
6,FRI,4,0,18.166666666666668
7,FRI,4,0,28.833333333333332
8,FRI,4,0,48.166666666666664
9,FRI,4,0,22.5
10,FRI,4,0,15.833333333333334
11,FRI,4,0,18.333333333333332
12,FRI,4,0,22.166666666666668
13,FRI,4,0,21.833333333333332
14,FRI,4,0,25.833333333333332
15,FRI,4,0,26.0
16,FRI,4,0,35.166666666666664
17,FRI,4,0,48.666666666666664
18,FRI,4,0,49.833333333333336
19,FRI,4,0,26.333333333333332
20,FRI,4,0,18.666666666666668
21,FRI,4,0,18.333333333333332
22,FRI,4,0,25.666666666666668
23,FRI,4,0,23.333333333333332
5,SAT,4,0,9.0
6,SAT,4,0,8.0
7,SAT,4,0,7.666666666666667
8,SAT,4,0,9.5
9,SAT,4,0,17.5
10,SAT,4,0,22.5
11,SAT,4,0,21.833333333333332
12,SAT,4,0,23.0
13,SAT,4,0,29.166666666666668
14,SAT,4,0,26.0
15,SAT,4,0,25.5
16,SAT,4,0,27.5
17,SAT,4,0,26.5
18,SAT,4,0,23.0
19,SAT,4,0,20.666666666666668
20,SAT,4,0,18.833333333333332
21,SAT,4,0,18.833333333333332
22,SAT,4,0,19.166666666666668
23,SAT,4,0,19.666666666666668
5,SUN,4,0,7.666666666666667
6,SUN,4,0,5.5
7,SUN,4,0,5.166666666666667
8,SUN,4,0,8.5
9,SUN,4,0,11.666666666666666
10,SUN,4,0,16.666666666666668
11,SUN,4,0,16.333333333333332
12,SUN,4,0,16.166666666666668
13,SUN,4,0,20.0
14,SUN,4,0,18.0
15,SUN,4,0,17.0
16,SUN,4,0,18.666666666666668
17,SUN,4,0,17.5
18,SUN,4,0,16.5
19,SUN,4,0,17.0
20,SUN,4,0,15.666666666666666
21,SUN,4,0,15.833333333333334
22,SUN,4,0,13.333333333333334
23,SUN,4,0,11.166666666666666
5,MON,4,1,26.0
6,MON,4,1,30.0
7,MON,4,1,47.333333333333336
8,MON,4,1,52.666666666666664
9,MON,4,1,39.833333333333336
10,MON,4,1,24.333333333333332
11,MON,4,1,25.5
12,MON,4,1,28.666666666666668
13,MON,4,1,32.166666666666664
14,MON,4,1,28.333333333333332
15,MON,4,1,35.5
16,MON,4,1,42.666666666666664
17,MON,4,1,53.333333333333336
18,MON,4,1,57.166666666666664
19,MON,4,1,29.166666666666668
20,MON,4,1,23.0
21,MON,4,1,21.833333333333332
22,MON,4,1,21.5
23,MON,4,1,12.333333333333334
5,TUE,4,1,24.333333333333332
6,TUE,4,1,27.5
7,TUE,4,1,44.833333333333336
