month,dow,hour,exit,승차인원,하차인원
09,SUN,5,12,22.246875000000003,6.709375000000001
09,SUN,5,13,24.609375,7.421875
09,SUN,5,14,14.765625,4.453125
09,SUN,5,15,15.749999999999993,4.749999999999998
09,SUN,5,2,5.315625,1.6031250000000001
09,SUN,5,3,1.1812499999999906,0.3562499999999972
09,SUN,5,4,0.0,0.0
09,SUN,5,5,0.0,0.0
09,SUN,5,6,0.0,0.0
09,SUN,5,7,0.0,0.0
09,SUN,5,8,0.0,0.0
09,SUN,5,9,0.0,0.0
09,SUN,5,9-1,4.331249999999997,1.306249999999999
09,SUN,6,1,0.3015734265734265,0.09047202797202794
09,SUN,6,10,0.2229020979020975,0.06687062937062925
09,SUN,6,11,0.17482517482517448,0.052447552447552344
09,SUN,6,12,1.5625,0.46875
09,SUN,6,13,0.504807692307692,0.1514423076923076
09,SUN,6,14,1.0576923076923075,0.3173076923076923
09,SUN,6,15,0.5026223776223775,0.15078671328671325
09,SUN,6,2,0.170454545454545,0.0511363636363635
09,SUN,6,3,0.080856643356643,0.0242569930069929
09,SUN,6,4,0.017482517482516998,0.0052447552447551
09,SUN,6,5,0.0,0.0
09,SUN,6,6,0.0,0.0
09,SUN,6,7,0.026223776223776,0.0078671328671328
09,SUN,6,8,0.013111888111888,0.0039335664335664
09,SUN,6,9,0.0,0.0
09,SUN,6,9-1,0.364947552447552,0.1094842657342656
09,SUN,7,1,4.193632358830591,1.2651181417701225
09,SUN,7,10,7.311974369243091,2.2058470164197033
09,SUN,7,11,2.473167801361634,0.7460953143772527
09,SUN,7,12,26.738886663996794,8.066479775730876
09,SUN,7,13,13.476972366840204,4.065678814577492
09,SUN,7,14,14.910692831397672,4.498197837404884
09,SUN,7,15,7.742090508610326,2.3356027232679195
09,SUN,7,2,1.6846215458550233,0.5082098518221858
09,SUN,7,3,2.150580696836201,0.6487785342410886
09,SUN,7,4,0.9319183019623467,0.28113736483780294
09,SUN,7,5,0.0,0.0
09,SUN,7,6,0.0,0.0
09,SUN,7,7,0.21505806968361296,0.06487785342410671
09,SUN,7,8,0.21505806968361296,0.06487785342410671
09,SUN,7,9,0.0,0.0
09,SUN,7,9-1,7.455346415698836,2.249098918702442
09,SUN,8,1,4.7734768378650525,11.694549345417919
09,SUN,8,10,6.631608761329299,16.246790030211464
09,SUN,8,11,3.940521148036253,9.653889728096674
09,SUN,8,12,36.7781973816717,90.10297079556898
09,SUN,8,13,17.46003272910372,42.7753650553877
