platform,ratio,hour,dow,line,updnLine
2-3,10.166666666666666,8,WEEKDAY,1,1
2-4,13.0,8,WEEKDAY,1,1
2-5,9.0,8,WEEKDAY,1,1
2-6,4.833333333333333,8,WEEKDAY,1,1
2-7,6.0,8,WEEKDAY,1,1
2-8,9.666666666666666,8,WEEKDAY,1,1
2-9,8.333333333333334,8,WEEKDAY,1,1
2-10,13.833333333333334,8,WEEKDAY,1,1
2-1,12.5,9,WEEKDAY,1,1
2-2,15.5,9,WEEKDAY,1,1
2-3,10.166666666666666,9,WEEKDAY,1,1
2-4,12.333333333333334,9,WEEKDAY,1,1
2-5,6.5,9,WEEKDAY,1,1
2-6,4.5,9,WEEKDAY,1,1
2-7,6.333333333333333,9,WEEKDAY,1,1
2-8,7.166666666666667,9,WEEKDAY,1,1
2-9,8.333333333333334,9,WEEKDAY,1,1
2-10,16.166666666666668,9,WEEKDAY,1,1
2-1,17.166666666666668,10,WEEKDAY,1,1
2-2,19.0,10,WEEKDAY,1,1
2-3,13.166666666666666,10,WEEKDAY,1,1
2-4,12.166666666666666,10,WEEKDAY,1,1
2-5,7.166666666666667,10,WEEKDAY,1,1
2-6,5.0,10,WEEKDAY,1,1
2-7,6.333333333333333,10,WEEKDAY,1,1
2-8,6.166666666666667,10,WEEKDAY,1,1
2-9,5.833333333333333,10,WEEKDAY,1,1
2-10,8.5,10,WEEKDAY,1,1
2-1,20.333333333333332,11,WEEKDAY,1,1
2-2,19.166666666666668,11,WEEKDAY,1,1
2-3,11.833333333333334,11,WEEKDAY,1,1
2-4,11.666666666666666,11,WEEKDAY,1,1
2-5,6.5,11,WEEKDAY,1,1
2-6,6.666666666666667,11,WEEKDAY,1,1
2-7,6.333333333333333,11,WEEKDAY,1,1
2-8,5.666666666666667,11,WEEKDAY,1,1
2-9,4.5,11,WEEKDAY,1,1
2-10,7.0,11,WEEKDAY,1,1
2-1,19.833333333333332,12,WEEKDAY,1,1
2-2,19.0,12,WEEKDAY,1,1
2-3,13.666666666666666,12,WEEKDAY,1,1
2-4,10.666666666666666,12,WEEKDAY,1,1
2-5,5.666666666666667,12,WEEKDAY,1,1
2-6,5.333333333333333,12,WEEKDAY,1,1
2-7,6.833333333333333,12,WEEKDAY,1,1
2-8,5.833333333333333,12,WEEKDAY,1,1
2-9,6.166666666666667,12,WEEKDAY,1,1
2-10,6.666666666666667,12,WEEKDAY,1,1
2-1,19.833333333333332,13,WEEKDAY,1,1
2-2,22.166666666666668,13,WEEKDAY,1,1
2-3,13.0,13,WEEKDAY,1,1
2-4,12.0,13,WEEKDAY,1,1
2-5,5.666666666666667,13,WEEKDAY,1,1
2-6,6.333333333333333,13,WEEKDAY,1,1
2-7,4.833333333333333,13,WEEKDAY,1,1
2-8,5.0,13,WEEKDAY,1,1
2-9,5.666666666666667,13,WEEKDAY,1,1
2-10,5.666666666666667,13,WEEKDAY,1,1
2-1,20.166666666666668,14,WEEKDAY,1,1
2-2,21.166666666666668,14,WEEKDAY,1,1
2-3,13.666666666666666,14,WEEKDAY,1,1
2-4,10.666666666666666,14,WEEKDAY,1,1
2-5,6.666666666666667,14,WEEKDAY,1,1
2-6,6.666666666666667,14,WEEKDAY,1,1
2-7,5.5,14,WEEKDAY,1,1
2-8,5.666666666666667,14,WEEKDAY,1,1
2-9,5.0,14,WEEKDAY,1,1
2-10,4.833333333333333,14,WEEKDAY,1,1
2-1,21.5,15,WEEKDAY,1,1
2-2,22.333333333333332,15,WEEKDAY,1,1
2-3,13.333333333333334,15,WEEKDAY,1,1
2-4,10.833333333333334,15,WEEKDAY,1,1
2-5,5.666666666666667,15,WEEKDAY,1,1
2-6,6.833333333333333,15,WEEKDAY,1,1
2-7,5.0,15,WEEKDAY,1,1
2-8,5.0,15,WEEKDAY,1,1
2-9,4.166666666666667,15,WEEKDAY,1,1
2-10,5.166666666666667,15,WEEKDAY,1,1
2-1,22.333333333333332,16,WEEKDAY,1,1
2-2,21.166666666666668,16,WEEKDAY,1,1
2-3,13.666666666666666,16,WEEKDAY,1,1
2-4,11.833333333333334,16,WEEKDAY,1,1
2-5,5.666666666666667,16,WEEKDAY,1,1
2-6,6.833333333333333,16,WEEKDAY,1,1
2-7,5.833333333333333,16,WEEKDAY,1,1
2-8,4.666666666666667,16,WEEKDAY,1,1
2-9,3.5,16,WEEKDAY,1,1
2-10,4.0,16,WEEKDAY,1,1
2-1,24.166666666666668,17,WEEKDAY,1,1
2-2,23.5,17,WEEKDAY,1,1
2-3,11.5,17,WEEKDAY,1,1
2-4,11.666666666666666,17,WEEKDAY,1,1
2-5,5.5,17,WEEKDAY,1,1
2-6,5.5,17,WEEKDAY,1,1
2-7,6.333333333333333,17,WEEKDAY,1,1
2-8,4.666666666666667,17,WEEKDAY,1,1
2-9,3.0,17,WEEKDAY,1,1
2-10,4.0,17,WEEKDAY,1,1
2-1,24.0,18,WEEKDAY,1,1
2-2,24.333333333333332,18,WEEKDAY,1,1
2-3,12.166666666666666,18,WEEKDAY,1,1
2-4,10.166666666666666,18,WEEKDAY,1,1
2-5,5.833333333333333,18,WEEKDAY,1,1
2-6,5.666666666666667,18,WEEKDAY,1,1
2-7,5.333333333333333,18,WEEKDAY,1,1
2-8,5.166666666666667,18,WEEKDAY,1,1
2-9,3.3333333333333335,18,WEEKDAY,1,1
2-10,3.6666666666666665,18,WEEKDAY,1,1
2-1,24.666666666666668,19,WEEKDAY,1,1
2-2,24.333333333333332,19,WEEKDAY,1,1
2-3,11.333333333333334,19,WEEKDAY,1,1
2-4,10.333333333333334,19,WEEKDAY,1,1
2-5,5.666666666666667,19,WEEKDAY,1,1
2-6,3.6666666666666665,19,WEEKDAY,1,1
2-7,6.833333333333333,19,WEEKDAY,1,1
2-8,4.5,19,WEEKDAY,1,1
2-9,4.0,19,WEEKDAY,1,1
2-10,4.666666666666667,19,WEEKDAY,1,1
2-1,24.166666666666668,20,WEEKDAY,1,1
2-2,23.333333333333332,20,WEEKDAY,1,1
2-3,13.166666666666666,20,WEEKDAY,1,1
2-4,10.666666666666666,20,WEEKDAY,1,1
2-5,6.166666666666667,20,WEEKDAY,1,1
2-6,3.8333333333333335,20,WEEKDAY,1,1
2-7,6.333333333333333,20,WEEKDAY,1,1
2-8,4.666666666666667,20,WEEKDAY,1,1
2-9,3.8333333333333335,20,WEEKDAY,1,1
2-10,3.8333333333333335,20,WEEKDAY,1,1
2-1,21.0,21,WEEKDAY,1,1
2-2,19.833333333333332,21,WEEKDAY,1,1
2-3,12.5,21,WEEKDAY,1,1
2-4,10.833333333333334,21,WEEKDAY,1,1
2-5,6.166666666666667,21,WEEKDAY,1,1
2-6,4.833333333333333,21,WEEKDAY,1,1
2-7,6.0,21,WEEKDAY,1,1
2-8,5.666666666666667,21,WEEKDAY,1,1
2-9,5.0,21,WEEKDAY,1,1
2-10,7.0,21,WEEKDAY,1,1
2-1,20.0,22,WEEKDAY,1,1
2-2,19.0,22,WEEKDAY,1,1
2-3,12.0,22,WEEKDAY,1,1
2-4,11.0,22,WEEKDAY,1,1
2-5,6.0,22,WEEKDAY,1,1
2-6,5.0,22,WEEKDAY,1,1
2-7,6.0,22,WEEKDAY,1,1
2-8,6.0,22,WEEKDAY,1,1
2-9,5.0,22,WEEKDAY,1,1
2-10,8.0,22,WEEKDAY,1,1
2-1,20.0,23,WEEKDAY,1,1
2-2,19.0,23,WEEKDAY,1,1
2-3,12.0,23,WEEKDAY,1,1
2-4,11.0,23,WEEKDAY,1,1
2-5,6.0,23,WEEKDAY,1,1
2-6,5.0,23,WEEKDAY,1,1
2-7,6.0,23,WEEKDAY,1,1
2-8,6.0,23,WEEKDAY,1,1
2-9,5.0,23,WEEKDAY,1,1
2-10,8.0,23,WEEKDAY,1,1
2-1,21.0,5,WEEKEND,1,1
2-2,20.0,5,WEEKEND,1,1
2-3,13.0,5,WEEKEND,1,1
2-4,11.0,5,WEEKEND,1,1
2-5,7.0,5,WEEKEND,1,1
2-6,6.0,5,WEEKEND,1,1
2-7,6.0,5,WEEKEND,1,1
2-8,5.0,5,WEEKEND,1,1
2-9,5.0,5,WEEKEND,1,1
2-10,5.0,5,WEEKEND,1,1
2-1,21.0,6,WEEKEND,1,1
2-2,20.0,6,WEEKEND,1,1
2-3,13.0,6,WEEKEND,1,1
2-4,11.5,6,WEEKEND,1,1
2-5,7.0,6,WEEKEND,1,1
2-6,6.0,6,WEEKEND,1,1
2-7,6.0,6,WEEKEND,1,1
2-8,5.0,6,WEEKEND,1,1
2-9,5.0,6,WEEKEND,1,1
2-10,5.0,6,WEEKEND,1,1
2-1,21.0,7,WEEKEND,1,1
2-2,20.0,7,WEEKEND,1,1
2-3,13.0,7,WEEKEND,1,1
